'Time','I','II','III','AVR','V','MCL','RESP','PLETH','ABP'
'[16:10:54.104]',-,0.490,-,0.495,0.339,-,-,0.734,-
'[16:10:54.112]',-,0.500,-,0.480,0.345,-,-,0.727,-
'[16:10:54.120]',-,0.505,-,0.480,0.335,-,-,0.719,-
'[16:10:54.128]',-,0.485,-,0.490,0.324,-,-,0.710,-
'[16:10:54.136]',-,0.470,-,0.510,0.314,-,-,0.698,-
'[16:10:54.144]',-,0.470,-,0.515,0.314,-,-,0.685,-
'[16:10:54.152]',-,0.490,-,0.495,0.324,-,-,0.671,-
'[16:10:54.160]',-,0.500,-,0.480,0.345,-,-,0.654,-
'[16:10:54.168]',-,0.515,-,0.480,0.324,-,-,0.634,-
'[16:10:54.176]',-,0.630,-,0.420,0.269,-,-,0.613,-
'[16:10:54.184]',-,0.855,-,0.285,0.220,-,-,0.590,-
'[16:10:54.192]',-,0.916,-,0.245,0.210,-,-,0.569,-
'[16:10:54.200]',-,0.595,-,0.454,0.245,-,-,0.547,-
'[16:10:54.208]',-,0.275,-,0.656,0.324,-,-,0.527,-
'[16:10:54.216]',-,0.175,-,0.709,0.449,-,-,0.509,-
'[16:10:54.224]',-,0.190,-,0.705,0.580,-,-,0.494,-
'[16:10:54.232]',-,0.225,-,0.695,0.671,-,-,0.480,-
'[16:10:54.240]',-,0.250,-,0.680,0.680,-,-,0.468,-
'[16:10:54.248]',-,0.315,-,0.635,0.545,-,-,0.460,-
'[16:10:54.256]',-,0.400,-,0.570,0.384,-,-,0.453,-
'[16:10:54.264]',-,0.460,-,0.520,0.320,-,-,0.445,-
'[16:10:54.272]',-,0.490,-,0.485,0.310,-,-,0.435,-
'[16:10:54.280]',-,0.500,-,0.480,0.304,-,-,0.425,-
'[16:10:54.288]',-,0.500,-,0.485,0.300,-,-,0.414,-
'[16:10:54.296]',-,0.530,-,0.449,0.300,-,-,0.405,-
'[16:10:54.304]',-,0.540,-,0.434,0.304,-,-,0.395,-
'[16:10:54.312]',-,0.510,-,0.476,0.300,-,-,0.385,-
'[16:10:54.320]',-,0.500,-,0.490,0.300,-,-,0.375,-
'[16:10:54.328]',-,0.525,-,0.466,0.300,-,-,0.368,-
'[16:10:54.336]',-,0.550,-,0.434,0.304,-,-,0.361,-
'[16:10:54.344]',-,0.555,-,0.439,0.310,-,-,0.356,-
'[16:10:54.352]',-,0.540,-,0.449,0.300,-,-,0.353,-
'[16:10:54.360]',-,0.540,-,0.444,0.290,-,-,0.349,-
'[16:10:54.368]',-,0.530,-,0.454,0.284,-,-,0.345,-
'[16:10:54.376]',-,0.525,-,0.461,0.284,-,-,0.340,-
'[16:10:54.384]',-,0.555,-,0.439,0.290,-,-,0.335,-
'[16:10:54.392]',-,0.560,-,0.425,0.290,-,-,0.331,-
'[16:10:54.400]',-,0.540,-,0.444,0.284,-,-,0.326,-
'[16:10:54.408]',-,0.525,-,0.461,0.278,-,-,0.322,-
'[16:10:54.416]',-,0.510,-,0.476,0.275,-,-,0.317,-
'[16:10:54.424]',-,0.490,-,0.490,0.269,-,-,0.312,-
'[16:10:54.432]',-,0.475,-,0.510,0.269,-,-,0.308,-
'[16:10:54.440]',-,0.470,-,0.515,0.265,-,-,0.305,-
'[16:10:54.448]',-,0.475,-,0.495,0.265,-,-,0.303,-
'[16:10:54.456]',-,0.480,-,0.495,0.265,-,-,0.302,-
'[16:10:54.464]',-,0.475,-,0.500,0.265,-,-,0.300,-
'[16:10:54.472]',-,0.495,-,0.476,0.265,-,-,0.297,-
'[16:10:54.480]',-,0.500,-,0.485,0.269,-,-,0.295,-
'[16:10:54.488]',-,0.445,-,0.529,0.249,-,-,0.293,-
'[16:10:54.496]',-,0.425,-,0.556,0.245,-,-,0.292,-
'[16:10:54.504]',-,0.440,-,0.539,0.249,-,-,0.292,-
'[16:10:54.512]',-,0.475,-,0.510,0.265,-,-,0.292,-
'[16:10:54.520]',-,0.500,-,0.490,0.284,-,-,0.294,-
'[16:10:54.528]',-,0.505,-,0.490,0.294,-,-,0.296,-
'[16:10:54.536]',-,0.510,-,0.480,0.304,-,-,0.297,-
'[16:10:54.544]',-,0.525,-,0.476,0.324,-,-,0.300,-
'[16:10:54.552]',-,0.535,-,0.466,0.345,-,-,0.302,-
'[16:10:54.560]',-,0.555,-,0.444,0.359,-,-,0.302,-
'[16:10:54.568]',-,0.585,-,0.410,0.375,-,-,0.301,-
'[16:10:54.576]',-,0.600,-,0.395,0.380,-,-,0.299,-
'[16:10:54.584]',-,0.575,-,0.420,0.371,-,-,0.296,-
'[16:10:54.592]',-,0.540,-,0.461,0.355,-,-,0.293,-
'[16:10:54.600]',-,0.530,-,0.476,0.349,-,-,0.289,-
'[16:10:54.608]',-,0.555,-,0.449,0.359,-,-,0.287,-
'[16:10:54.616]',-,0.580,-,0.425,0.365,-,-,0.284,-
'[16:10:54.624]',-,0.590,-,0.410,0.371,-,-,0.283,-
'[16:10:54.632]',-,0.580,-,0.420,0.365,-,-,0.282,-
'[16:10:54.640]',-,0.565,-,0.434,0.359,-,-,0.282,-
'[16:10:54.648]',-,0.565,-,0.439,0.359,-,-,0.281,-
'[16:10:54.656]',-,0.570,-,0.434,0.365,-,-,0.279,-
'[16:10:54.664]',-,0.555,-,0.449,0.359,-,-,0.277,-
'[16:10:54.672]',-,0.540,-,0.466,0.355,-,-,0.275,-
'[16:10:54.680]',-,0.545,-,0.461,0.355,-,-,0.275,-
'[16:10:54.688]',-,0.560,-,0.439,0.355,-,-,0.279,-
'[16:10:54.696]',-,0.580,-,0.415,0.365,-,-,0.288,-
'[16:10:54.704]',-,0.575,-,0.425,0.365,-,-,0.303,-
'[16:10:54.712]',-,0.560,-,0.444,0.359,-,-,0.325,-
'[16:10:54.720]',-,0.565,-,0.434,0.359,-,-,0.352,-
'[16:10:54.728]',-,0.575,-,0.430,0.359,-,-,0.384,-
'[16:10:54.736]',-,0.565,-,0.430,0.359,-,-,0.418,-
'[16:10:54.744]',-,0.555,-,0.439,0.355,-,-,0.449,-
'[16:10:54.752]',-,0.540,-,0.454,0.349,-,-,0.478,-
'[16:10:54.760]',-,0.530,-,0.471,0.349,-,-,0.507,-
'[16:10:54.768]',-,0.520,-,0.480,0.349,-,-,0.536,-
'[16:10:54.776]',-,0.545,-,0.454,0.355,-,-,0.561,-
'[16:10:54.784]',-,0.560,-,0.439,0.365,-,-,0.584,-
'[16:10:54.792]',-,0.580,-,0.425,0.375,-,-,0.603,-
'[16:10:54.800]',-,0.585,-,0.415,0.390,-,-,0.621,-
'[16:10:54.808]',-,0.570,-,0.439,0.384,-,-,0.636,-
'[16:10:54.816]',-,0.565,-,0.454,0.375,-,-,0.650,-
'[16:10:54.824]',-,0.580,-,0.439,0.365,-,-,0.663,-
'[16:10:54.832]',-,0.600,-,0.415,0.365,-,-,0.674,-
'[16:10:54.840]',-,0.605,-,0.405,0.355,-,-,0.682,-
'[16:10:54.848]',-,0.590,-,0.410,0.345,-,-,0.689,-
'[16:10:54.856]',-,0.565,-,0.430,0.345,-,-,0.695,-
'[16:10:54.864]',-,0.540,-,0.449,0.339,-,-,0.698,-
'[16:10:54.872]',-,0.515,-,0.471,0.335,-,-,0.700,-
'[16:10:54.880]',-,0.495,-,0.495,0.329,-,-,0.700,-
'[16:10:54.888]',-,0.475,-,0.515,0.320,-,-,0.698,-
'[16:10:54.896]',-,0.475,-,0.520,0.320,-,-,0.694,-
'[16:10:54.904]',-,0.490,-,0.500,0.324,-,-,0.688,-
'[16:10:54.912]',-,0.500,-,0.495,0.324,-,-,0.679,-
'[16:10:54.920]',-,0.505,-,0.480,0.324,-,-,0.669,-
'[16:10:54.928]',-,0.530,-,0.461,0.335,-,-,0.655,-
'[16:10:54.936]',-,0.535,-,0.449,0.345,-,-,0.637,-
'[16:10:54.944]',-,0.515,-,0.476,0.355,-,-,0.621,-
'[16:10:54.952]',-,0.510,-,0.490,0.320,-,-,0.604,-
'[16:10:54.960]',-,0.660,-,0.430,0.255,-,-,0.585,-
'[16:10:54.968]',-,0.845,-,0.315,0.214,-,-,0.565,-
'[16:10:54.976]',-,0.865,-,0.300,0.229,-,-,0.544,-
'[16:10:54.984]',-,0.470,-,0.551,0.278,-,-,0.526,-
'[16:10:54.992]',-,0.205,-,0.705,0.365,-,-,0.509,-
'[16:10:55.000]',-,0.164,-,0.730,0.490,-,-,0.495,-
'[16:10:55.008]',-,0.220,-,0.685,0.620,-,-,0.481,-
'[16:10:55.016]',-,0.240,-,0.675,0.676,-,-,0.468,-
'[16:10:55.024]',-,0.259,-,0.685,0.625,-,-,0.457,-
'[16:10:55.032]',-,0.330,-,0.624,0.471,-,-,0.447,-
'[16:10:55.040]',-,0.405,-,0.570,0.329,-,-,0.439,-
'[16:10:55.048]',-,0.440,-,0.539,0.278,-,-,0.432,-
'[16:10:55.056]',-,0.485,-,0.500,0.278,-,-,0.423,-
'[16:10:55.064]',-,0.535,-,0.454,0.290,-,-,0.413,-
'[16:10:55.072]',-,0.540,-,0.444,0.284,-,-,0.405,-
'[16:10:55.080]',-,0.510,-,0.480,0.278,-,-,0.396,-
'[16:10:55.088]',-,0.485,-,0.505,0.269,-,-,0.386,-
'[16:10:55.096]',-,0.490,-,0.495,0.269,-,-,0.376,-
'[16:10:55.104]',-,0.510,-,0.471,0.278,-,-,0.368,-
'[16:10:55.112]',-,0.525,-,0.454,0.284,-,-,0.359,-
'[16:10:55.120]',-,0.520,-,0.454,0.284,-,-,0.351,-
'[16:10:55.128]',-,0.505,-,0.471,0.278,-,-,0.343,-
'[16:10:55.136]',-,0.495,-,0.490,0.275,-,-,0.336,-
'[16:10:55.144]',-,0.495,-,0.495,0.275,-,-,0.331,-
'[16:10:55.152]',-,0.510,-,0.476,0.278,-,-,0.327,-
'[16:10:55.160]',-,0.525,-,0.454,0.284,-,-,0.321,-
'[16:10:55.168]',-,0.530,-,0.461,0.290,-,-,0.315,-
'[16:10:55.176]',-,0.500,-,0.480,0.275,-,-,0.308,-
'[16:10:55.184]',-,0.505,-,0.485,0.275,-,-,0.301,-
'[16:10:55.192]',-,0.510,-,0.476,0.278,-,-,0.294,-
'[16:10:55.200]',-,0.500,-,0.476,0.269,-,-,0.285,-
'[16:10:55.208]',-,0.495,-,0.476,0.269,-,-,0.277,-
'[16:10:55.216]',-,0.480,-,0.490,0.269,-,-,0.268,-
'[16:10:55.224]',-,0.450,-,0.529,0.259,-,-,0.259,-
'[16:10:55.232]',-,0.435,-,0.539,0.249,-,-,0.252,-
'[16:10:55.240]',-,0.435,-,0.534,0.249,-,-,0.247,-
'[16:10:55.248]',-,0.430,-,0.539,0.249,-,-,0.244,-
'[16:10:55.256]',-,0.425,-,0.539,0.249,-,-,0.240,-
'[16:10:55.264]',-,0.435,-,0.534,0.249,-,-,0.236,-
'[16:10:55.272]',-,0.430,-,0.539,0.249,-,-,0.231,-
'[16:10:55.280]',-,0.415,-,0.561,0.245,-,-,0.227,-
'[16:10:55.288]',-,0.405,-,0.580,0.239,-,-,0.225,-
'[16:10:55.296]',-,0.420,-,0.566,0.245,-,-,0.222,-
'[16:10:55.304]',-,0.455,-,0.534,0.259,-,-,0.218,-
'[16:10:55.312]',-,0.485,-,0.500,0.284,-,-,0.215,-
'[16:10:55.320]',-,0.505,-,0.485,0.304,-,-,0.212,-
'[16:10:55.328]',-,0.515,-,0.476,0.324,-,-,0.209,-
'[16:10:55.336]',-,0.525,-,0.476,0.339,-,-,0.207,-
'[16:10:55.344]',-,0.520,-,0.480,0.349,-,-,0.207,-
'[16:10:55.352]',-,0.520,-,0.480,0.349,-,-,0.208,-
'[16:10:55.360]',-,0.530,-,0.466,0.355,-,-,0.209,-
'[16:10:55.368]',-,0.535,-,0.461,0.365,-,-,0.209,-
'[16:10:55.376]',-,0.535,-,0.476,0.365,-,-,0.208,-
'[16:10:55.384]',-,0.535,-,0.476,0.359,-,-,0.207,-
'[16:10:55.392]',-,0.545,-,0.461,0.359,-,-,0.206,-
'[16:10:55.400]',-,0.560,-,0.444,0.365,-,-,0.204,-
'[16:10:55.408]',-,0.550,-,0.449,0.355,-,-,0.203,-
'[16:10:55.416]',-,0.525,-,0.476,0.345,-,-,0.201,-
'[16:10:55.424]',-,0.520,-,0.480,0.345,-,-,0.198,-
'[16:10:55.432]',-,0.545,-,0.461,0.349,-,-,0.196,-
'[16:10:55.440]',-,0.555,-,0.449,0.355,-,-,0.196,-
'[16:10:55.448]',-,0.550,-,0.449,0.355,-,-,0.196,-
'[16:10:55.456]',-,0.540,-,0.461,0.349,-,-,0.196,-
'[16:10:55.464]',-,0.535,-,0.471,0.345,-,-,0.197,-
'[16:10:55.472]',-,0.535,-,0.476,0.345,-,-,0.202,-
'[16:10:55.480]',-,0.540,-,0.471,0.345,-,-,0.212,-
'[16:10:55.488]',-,0.535,-,0.471,0.345,-,-,0.229,-
'[16:10:55.496]',-,0.535,-,0.476,0.345,-,-,0.253,-
'[16:10:55.504]',-,0.550,-,0.449,0.355,-,-,0.283,-
'[16:10:55.512]',-,0.560,-,0.444,0.359,-,-,0.318,-
'[16:10:55.520]',-,0.545,-,0.454,0.349,-,-,0.355,-
'[16:10:55.528]',-,0.540,-,0.471,0.345,-,-,0.392,-
'[16:10:55.536]',-,0.535,-,0.476,0.349,-,-,0.428,-
'[16:10:55.544]',-,0.535,-,0.471,0.349,-,-,0.459,-
'[16:10:55.552]',-,0.545,-,0.454,0.355,-,-,0.486,-
'[16:10:55.560]',-,0.550,-,0.449,0.349,-,-,0.512,-
'[16:10:55.568]',-,0.555,-,0.449,0.349,-,-,0.537,-
'[16:10:55.576]',-,0.530,-,0.480,0.349,-,-,0.559,-
'[16:10:55.584]',-,0.525,-,0.490,0.359,-,-,0.579,-
'[16:10:55.592]',-,0.565,-,0.466,0.371,-,-,0.597,-
'[16:10:55.600]',-,0.600,-,0.430,0.375,-,-,0.614,-
'[16:10:55.608]',-,0.625,-,0.400,0.375,-,-,0.629,-
'[16:10:55.616]',-,0.640,-,0.386,0.371,-,-,0.642,-
'[16:10:55.624]',-,0.611,-,0.405,0.349,-,-,0.653,-
'[16:10:55.632]',-,0.570,-,0.444,0.345,-,-,0.662,-
'[16:10:55.640]',-,0.535,-,0.471,0.345,-,-,0.669,-
'[16:10:55.648]',-,0.510,-,0.495,0.339,-,-,0.673,-
'[16:10:55.656]',-,0.495,-,0.515,0.329,-,-,0.676,-
'[16:10:55.664]',-,0.490,-,0.520,0.329,-,-,0.678,-
'[16:10:55.672]',-,0.495,-,0.515,0.324,-,-,0.677,-
'[16:10:55.680]',-,0.490,-,0.515,0.314,-,-,0.675,-
'[16:10:55.688]',-,0.485,-,0.505,0.314,-,-,0.670,-
'[16:10:55.696]',-,0.510,-,0.485,0.314,-,-,0.662,-
'[16:10:55.704]',-,0.525,-,0.471,0.320,-,-,0.652,-
'[16:10:55.712]',-,0.530,-,0.476,0.324,-,-,0.640,-
'[16:10:55.720]',-,0.500,-,0.490,0.329,-,-,0.626,-
'[16:10:55.728]',-,0.475,-,0.515,0.329,-,-,0.610,-
'[16:10:55.736]',-,0.525,-,0.495,0.300,-,-,0.593,-
'[16:10:55.744]',-,0.715,-,0.386,0.249,-,-,0.578,-
'[16:10:55.752]',-,0.900,-,0.275,0.220,-,-,0.564,-
'[16:10:55.760]',-,0.786,-,0.360,0.229,-,-,0.548,-
'[16:10:55.768]',-,0.425,-,0.590,0.269,-,-,0.532,-
'[16:10:55.776]',-,0.195,-,0.725,0.359,-,-,0.516,-
'[16:10:55.784]',-,0.159,-,0.740,0.484,-,-,0.502,-
'[16:10:55.792]',-,0.200,-,0.720,0.600,-,-,0.490,-
'[16:10:55.800]',-,0.254,-,0.690,0.661,-,-,0.478,-
'[16:10:55.808]',-,0.305,-,0.656,0.606,-,-,0.468,-
'[16:10:55.816]',-,0.375,-,0.595,0.439,-,-,0.459,-
'[16:10:55.824]',-,0.435,-,0.551,0.310,-,-,0.451,-
'[16:10:55.832]',-,0.480,-,0.515,0.275,-,-,0.444,-
'[16:10:55.840]',-,0.510,-,0.490,0.275,-,-,0.439,-
'[16:10:55.848]',-,0.515,-,0.490,0.269,-,-,0.434,-
'[16:10:55.856]',-,0.520,-,0.495,0.269,-,-,0.437,-
'[16:10:55.864]',-,0.530,-,0.466,0.269,-,-,0.444,-
'[16:10:55.872]',-,0.540,-,0.454,0.278,-,-,0.444,-
'[16:10:55.880]',-,0.545,-,0.449,0.284,-,-,0.440,-
'[16:10:55.888]',-,0.525,-,0.471,0.275,-,-,0.434,-
'[16:10:55.896]',-,0.505,-,0.495,0.269,-,-,0.429,-
'[16:10:55.904]',-,0.515,-,0.476,0.269,-,-,0.423,-
'[16:10:55.912]',-,0.530,-,0.471,0.275,-,-,0.417,-
'[16:10:55.920]',-,0.515,-,0.480,0.259,-,-,0.411,-
'[16:10:55.928]',-,0.520,-,0.485,0.259,-,-,0.405,-
'[16:10:55.936]',-,0.550,-,0.454,0.269,-,-,0.398,-
'[16:10:55.944]',-,0.560,-,0.449,0.269,-,-,0.393,-
'[16:10:55.952]',-,0.535,-,0.461,0.259,-,-,0.389,-
'[16:10:55.960]',-,0.510,-,0.480,0.249,-,-,0.384,-
'[16:10:55.968]',-,0.500,-,0.495,0.245,-,-,0.379,-
'[16:10:55.976]',-,0.495,-,0.500,0.245,-,-,0.375,-
'[16:10:55.984]',-,0.495,-,0.505,0.249,-,-,0.370,-
'[16:10:55.992]',-,0.495,-,0.500,0.259,-,-,0.365,-
'[16:10:56.000]',-,0.520,-,0.471,0.259,-,-,0.360,-
'[16:10:56.008]',-,0.530,-,0.461,0.265,-,-,0.356,-
'[16:10:56.016]',-,0.475,-,0.505,0.249,-,-,0.353,-
'[16:10:56.024]',-,0.430,-,0.556,0.239,-,-,0.349,-
'[16:10:56.032]',-,0.425,-,0.561,0.239,-,-,0.345,-
'[16:10:56.040]',-,0.435,-,0.539,0.239,-,-,0.343,-
'[16:10:56.048]',-,0.460,-,0.520,0.245,-,-,0.341,-
'[16:10:56.056]',-,0.465,-,0.534,0.233,-,-,0.339,-
'[16:10:56.064]',-,0.410,-,0.580,0.220,-,-,0.335,-
'[16:10:56.072]',-,0.400,-,0.590,0.220,-,-,0.331,-
'[16:10:56.080]',-,0.420,-,0.570,0.233,-,-,0.327,-
'[16:10:56.088]',-,0.440,-,0.556,0.249,-,-,0.324,-
'[16:10:56.096]',-,0.475,-,0.529,0.269,-,-,0.320,-
'[16:10:56.104]',-,0.520,-,0.485,0.300,-,-,0.317,-
'[16:10:56.112]',-,0.555,-,0.444,0.329,-,-,0.314,-
'[16:10:56.120]',-,0.565,-,0.434,0.345,-,-,0.311,-
'[16:10:56.128]',-,0.535,-,0.471,0.345,-,-,0.309,-
'[16:10:56.136]',-,0.530,-,0.480,0.349,-,-,0.308,-
'[16:10:56.144]',-,0.555,-,0.454,0.359,-,-,0.308,-
'[16:10:56.152]',-,0.570,-,0.439,0.365,-,-,0.310,-
'[16:10:56.160]',-,0.530,-,0.476,0.345,-,-,0.310,-
'[16:10:56.168]',-,0.510,-,0.500,0.335,-,-,0.311,-
'[16:10:56.176]',-,0.525,-,0.480,0.345,-,-,0.311,-
'[16:10:56.184]',-,0.550,-,0.466,0.355,-,-,0.311,-
'[16:10:56.192]',-,0.575,-,0.439,0.365,-,-,0.310,-
'[16:10:56.200]',-,0.580,-,0.430,0.365,-,-,0.309,-
'[16:10:56.208]',-,0.555,-,0.449,0.349,-,-,0.307,-
'[16:10:56.216]',-,0.550,-,0.461,0.349,-,-,0.304,-
'[16:10:56.224]',-,0.555,-,0.454,0.355,-,-,0.301,-
'[16:10:56.232]',-,0.550,-,0.461,0.349,-,-,0.300,-
'[16:10:56.240]',-,0.540,-,0.476,0.345,-,-,0.301,-
'[16:10:56.248]',-,0.535,-,0.476,0.339,-,-,0.305,-
'[16:10:56.256]',-,0.555,-,0.454,0.349,-,-,0.312,-
'[16:10:56.264]',-,0.560,-,0.454,0.355,-,-,0.325,-
'[16:10:56.272]',-,0.550,-,0.466,0.355,-,-,0.343,-
'[16:10:56.280]',-,0.555,-,0.449,0.349,-,-,0.370,-
'[16:10:56.288]',-,0.560,-,0.454,0.345,-,-,0.401,-
'[16:10:56.296]',-,0.535,-,0.471,0.335,-,-,0.436,-
'[16:10:56.304]',-,0.525,-,0.485,0.335,-,-,0.472,-
'[16:10:56.312]',-,0.530,-,0.490,0.345,-,-,0.509,-
'[16:10:56.320]',-,0.550,-,0.461,0.355,-,-,0.545,-
'[16:10:56.328]',-,0.555,-,0.454,0.355,-,-,0.579,-
'[16:10:56.336]',-,0.535,-,0.471,0.355,-,-,0.605,-
'[16:10:56.344]',-,0.540,-,0.476,0.355,-,-,0.628,-
'[16:10:56.352]',-,0.575,-,0.434,0.371,-,-,0.650,-
'[16:10:56.360]',-,0.580,-,0.444,0.384,-,-,0.673,-
'[16:10:56.368]',-,0.530,-,0.490,0.390,-,-,0.693,-
'[16:10:56.376]',-,0.525,-,0.500,0.384,-,-,0.711,-
'[16:10:56.384]',-,0.590,-,0.439,0.384,-,-,0.728,-
'[16:10:56.392]',-,0.615,-,0.410,0.380,-,-,0.744,-
'[16:10:56.400]',-,0.600,-,0.420,0.359,-,-,0.758,-
'[16:10:56.408]',-,0.590,-,0.430,0.339,-,-,0.770,-
'[16:10:56.416]',-,0.580,-,0.430,0.339,-,-,0.780,-
'[16:10:56.424]',-,0.550,-,0.454,0.339,-,-,0.788,-
'[16:10:56.432]',-,0.515,-,0.485,0.335,-,-,0.795,-
'[16:10:56.440]',-,0.500,-,0.495,0.329,-,-,0.799,-
'[16:10:56.448]',-,0.500,-,0.500,0.324,-,-,0.800,-
'[16:10:56.456]',-,0.500,-,0.490,0.314,-,-,0.801,-
'[16:10:56.464]',-,0.490,-,0.505,0.304,-,-,0.800,-
'[16:10:56.472]',-,0.465,-,0.529,0.304,-,-,0.797,-
'[16:10:56.480]',-,0.465,-,0.534,0.310,-,-,0.792,-
'[16:10:56.488]',-,0.480,-,0.510,0.304,-,-,0.784,-
'[16:10:56.496]',-,0.520,-,0.471,0.310,-,-,0.774,-
'[16:10:56.504]',-,0.530,-,0.454,0.329,-,-,0.762,-
'[16:10:56.512]',-,0.495,-,0.500,0.320,-,-,0.749,-
'[16:10:56.520]',-,0.550,-,0.510,0.259,-,-,0.733,-
'[16:10:56.528]',-,0.746,-,0.386,0.204,-,-,0.717,-
'[16:10:56.536]',-,0.871,-,0.310,0.188,-,-,0.702,-
'[16:10:56.544]',-,0.690,-,0.420,0.229,-,-,0.687,-
'[16:10:56.552]',-,0.344,-,0.619,0.294,-,-,0.673,-
'[16:10:56.560]',-,0.180,-,0.715,0.394,-,-,0.657,-
'[16:10:56.568]',-,0.200,-,0.695,0.535,-,-,0.643,-
'[16:10:56.576]',-,0.230,-,0.685,0.635,-,-,0.630,-
'[16:10:56.584]',-,0.245,-,0.695,0.661,-,-,0.619,-
'[16:10:56.592]',-,0.280,-,0.675,0.555,-,-,0.608,-
'[16:10:56.600]',-,0.350,-,0.624,0.390,-,-,0.598,-
'[16:10:56.608]',-,0.435,-,0.556,0.300,-,-,0.589,-
'[16:10:56.616]',-,0.495,-,0.495,0.290,-,-,0.582,-
'[16:10:56.624]',-,0.530,-,0.461,0.300,-,-,0.573,-
'[16:10:56.632]',-,0.535,-,0.454,0.300,-,-,0.565,-
'[16:10:56.640]',-,0.515,-,0.471,0.300,-,-,0.557,-
'[16:10:56.648]',-,0.500,-,0.490,0.284,-,-,0.551,-
'[16:10:56.656]',-,0.495,-,0.495,0.284,-,-,0.543,-
'[16:10:56.664]',-,0.500,-,0.485,0.284,-,-,0.536,-
'[16:10:56.672]',-,0.515,-,0.466,0.300,-,-,0.527,-
'[16:10:56.680]',-,0.525,-,0.454,0.304,-,-,0.519,-
'[16:10:56.688]',-,0.525,-,0.454,0.300,-,-,0.511,-
'[16:10:56.696]',-,0.515,-,0.466,0.294,-,-,0.503,-
'[16:10:56.704]',-,0.495,-,0.490,0.290,-,-,0.496,-
'[16:10:56.712]',-,0.475,-,0.510,0.278,-,-,0.489,-
'[16:10:56.720]',-,0.480,-,0.500,0.278,-,-,0.481,-
'[16:10:56.728]',-,0.510,-,0.471,0.290,-,-,0.474,-
'[16:10:56.736]',-,0.520,-,0.461,0.290,-,-,0.468,-
'[16:10:56.744]',-,0.505,-,0.485,0.284,-,-,0.462,-
'[16:10:56.752]',-,0.480,-,0.505,0.284,-,-,0.457,-
'[16:10:56.760]',-,0.480,-,0.510,0.278,-,-,0.452,-
'[16:10:56.768]',-,0.495,-,0.480,0.278,-,-,0.446,-
'[16:10:56.776]',-,0.500,-,0.480,0.275,-,-,0.441,-
'[16:10:56.784]',-,0.475,-,0.490,0.265,-,-,0.435,-
'[16:10:56.792]',-,0.435,-,0.529,0.249,-,-,0.429,-
'[16:10:56.800]',-,0.405,-,0.566,0.245,-,-,0.424,-
'[16:10:56.808]',-,0.405,-,0.570,0.249,-,-,0.419,-
'[16:10:56.816]',-,0.415,-,0.556,0.255,-,-,0.414,-
'[16:10:56.824]',-,0.410,-,0.561,0.249,-,-,0.411,-
'[16:10:56.832]',-,0.395,-,0.570,0.245,-,-,0.408,-
'[16:10:56.840]',-,0.410,-,0.556,0.255,-,-,0.406,-
'[16:10:56.848]',-,0.435,-,0.534,0.269,-,-,0.405,-
'[16:10:56.856]',-,0.425,-,0.551,0.269,-,-,0.403,-
'[16:10:56.864]',-,0.410,-,0.566,0.265,-,-,0.401,-
'[16:10:56.872]',-,0.435,-,0.556,0.278,-,-,0.400,-
'[16:10:56.880]',-,0.465,-,0.524,0.300,-,-,0.398,-
'[16:10:56.888]',-,0.490,-,0.495,0.320,-,-,0.395,-
'[16:10:56.896]',-,0.495,-,0.490,0.335,-,-,0.393,-
'[16:10:56.904]',-,0.500,-,0.485,0.345,-,-,0.391,-
'[16:10:56.912]',-,0.520,-,0.471,0.359,-,-,0.389,-
'[16:10:56.920]',-,0.530,-,0.471,0.365,-,-,0.388,-
'[16:10:56.928]',-,0.505,-,0.490,0.365,-,-,0.386,-
'[16:10:56.936]',-,0.515,-,0.476,0.371,-,-,0.387,-
'[16:10:56.944]',-,0.540,-,0.444,0.375,-,-,0.387,-
'[16:10:56.952]',-,0.545,-,0.449,0.371,-,-,0.387,-
'[16:10:56.960]',-,0.510,-,0.476,0.365,-,-,0.386,-
'[16:10:56.968]',-,0.515,-,0.480,0.365,-,-,0.384,-
'[16:10:56.976]',-,0.535,-,0.461,0.365,-,-,0.383,-
'[16:10:56.984]',-,0.540,-,0.449,0.371,-,-,0.382,-
'[16:10:56.992]',-,0.535,-,0.461,0.365,-,-,0.380,-
'[16:10:57.000]',-,0.530,-,0.471,0.365,-,-,0.377,-
'[16:10:57.008]',-,0.535,-,0.476,0.365,-,-,0.375,-
'[16:10:57.016]',-,0.535,-,0.471,0.365,-,-,0.374,-
'[16:10:57.024]',-,0.540,-,0.476,0.365,-,-,0.375,-
'[16:10:57.032]',-,0.555,-,0.439,0.371,-,-,0.381,-
'[16:10:57.040]',-,0.565,-,0.430,0.375,-,-,0.391,-
'[16:10:57.048]',-,0.555,-,0.434,0.371,-,-,0.406,-
'[16:10:57.056]',-,0.535,-,0.454,0.365,-,-,0.427,-
'[16:10:57.064]',-,0.515,-,0.490,0.355,-,-,0.455,-
'[16:10:57.072]',-,0.495,-,0.505,0.355,-,-,0.488,-
'[16:10:57.080]',-,0.490,-,0.510,0.349,-,-,0.524,-
'[16:10:57.088]',-,0.495,-,0.490,0.349,-,-,0.562,-
'[16:10:57.096]',-,0.520,-,0.471,0.349,-,-,0.599,-
'[16:10:57.104]',-,0.535,-,0.466,0.355,-,-,0.635,-
'[16:10:57.112]',-,0.535,-,0.461,0.359,-,-,0.669,-
